Date,^FCHI,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,Date,Year
2012-01-02,3245.39990234375,4.26881217956543,58.6075553894043,24.5,24.094999313354492,49.244998931884766,31.290000915527344,18.1200008392334,25.075000762939453,10.430000305175781,34.45000076293945,6.284999847412109,55.15999984741211,24.8799991607666,21.790000915527344,5.75,17.684999465942383,24.399999618530273,104.33009338378906,25.15999984741211,111.3499984741211,11.602499961853027,30.258377075195312,81.80000305175781,12.354999542236328,36.220001220703125,72.47000122070312,231.3000030517578,27.594999313354492,23.5,57.41999816894531,30.2450008392334,4.703000068664551,41.560001373291016,17.530000686645508,40.0,8.9350004196167,16.945165634155273,2012-01-02,2012
2012-01-03,3245.39990234375,4.26881217956543,58.81270980834961,24.5,24.440000534057617,49.790000915527344,31.334999084472656,18.30500030517578,25.25,10.579999923706055,34.755001068115234,6.263000011444092,55.560001373291016,24.94499969482422,21.725000381469727,5.936999797821045,17.600000381469727,24.3799991607666,105.95661926269531,25.30500030517578,112.1500015258789,11.931246757507324,30.930784225463867,82.12000274658203,12.354999542236328,36.1349983215332,72.05999755859375,235.35000610351562,28.389999389648438,23.309999465942383,57.290000915527344,30.959999084472656,4.946000099182129,43.2599983215332,17.649999618530273,40.44499969482422,8.836000442504883,16.84355354309082,2012-01-03,2012
2012-01-04,3193.64990234375,4.140738010406494,58.43860626220703,24.565000534057617,24.104999542236328,48.584999084472656,30.649999618530273,17.59000015258789,25.09000015258789,10.399999618530273,34.54999923706055,6.182000160217285,55.470001220703125,24.635000228881836,21.280000686645508,5.75,17.0,24.0,105.44542694091797,25.15999984741211,110.9000015258789,11.81624984741211,30.43157386779785,81.33000183105469,12.045000076293945,35.939998626708984,71.62000274658203,238.35000610351562,27.825000762939453,22.93000030517578,56.209999084472656,30.270000457763672,4.790999889373779,42.08000183105469,17.56999969482422,40.13499069213867,8.487000465393066,16.446779251098633,2012-01-04,2012
2012-01-05,3144.909912109375,3.925034999847412,57.412837982177734,24.889999389648438,23.2450008392334,48.43000030517578,29.0,16.81999969482422,24.2450008392334,9.890000343322754,34.060001373291016,6.195000171661377,54.86000061035156,24.049999237060547,20.78499984741211,5.660999774932861,16.079999923706055,23.5,106.18898010253906,24.770000457763672,109.94999694824219,11.74625015258789,30.594581604003906,81.41999816894531,11.789999961853027,35.54499816894531,71.52999877929688,240.0,27.6200008392334,23.149999618530273,55.5,29.674999237060547,4.72599983215332,42.505001068115234,17.020000457763672,39.86000061035156,8.211000442504883,16.146778106689453,2012-01-05,2012
2012-01-06,3137.360107421875,3.976072072982788,57.26198959350586,24.764999389648438,22.764999389648438,48.26499938964844,28.454999923706055,16.610000610351562,24.684999465942383,9.800000190734863,33.73500061035156,6.251999855041504,55.20000076293945,23.729999542236328,20.670000076293945,5.565000057220459,15.5649995803833,23.829999923706055,105.67778778076172,24.764999389648438,108.9000015258789,11.661250114440918,30.0240535736084,81.18000030517578,11.789999961853027,36.779998779296875,71.93000030517578,237.60000610351562,28.309999465942383,23.354999542236328,56.25,29.165000915527344,4.849999904632568,42.42499923706055,17.209999084472656,39.9900016784668,8.128000259399414,16.01613426208496,2012-01-06,2012
2012-01-09,3127.68994140625,3.893256902694702,57.18958282470703,24.864999771118164,22.65999984741211,48.97999954223633,27.895000457763672,16.604999542236328,24.799999237060547,9.543999671936035,33.845001220703125,6.313000202178955,55.689998626708984,23.600000381469727,20.530000686645508,5.5269999504089355,15.0,23.344999313354492,106.46781158447266,24.65999984741211,110.05000305175781,11.720000267028809,29.95273780822754,81.62000274658203,11.6899995803833,36.619998931884766,73.3499984741211,245.35000610351562,28.19499969482422,23.325000762939453,55.790000915527344,29.15999984741211,4.816999912261963,42.69499969482422,17.0,39.959999084472656,7.984000205993652,15.793553352355957,2012-01-09,2012
2012-01-10,3210.7900390625,3.9645159244537354,59.10837173461914,25.030000686645508,23.19499969482422,48.88999938964844,29.584999084472656,16.850000381469727,25.295000076293945,10.265000343322754,35.0,6.230999946594238,56.36000061035156,23.239999771118164,21.360000610351562,5.65500020980835,15.744999885559082,23.889999389648438,109.67440032958984,25.5,115.19999694824219,11.998749732971191,30.64552116394043,82.94999694824219,11.875,37.459999084472656,74.33000183105469,245.14999389648438,29.4950008392334,23.520000457763672,56.75,30.899999618530273,5.059999942779541,44.560001373291016,17.81999969482422,40.439998626708984,8.197999954223633,15.754842758178711,2012-01-10,2012
2012-01-11,3204.830078125,3.9962940216064453,58.9695930480957,25.170000076293945,23.655000686645508,48.38499069213867,30.0,16.739999771118164,24.979999542236328,10.404999732971191,35.47999954223633,6.170000076293945,57.0099983215332,23.299999237060547,21.25,5.785999774932861,15.899999618530273,24.739999771118164,108.65200805664062,25.479999542236328,113.5999984741211,11.895000457763672,30.72702407836914,81.68000030517578,11.920000076293945,37.31999969482422,73.87000274658203,239.85000610351562,29.604999542236328,24.0,56.470001220703125,31.440000534057617,4.921999931335449,45.02000045776367,17.850000381469727,39.875,8.211999893188477,15.493553161621094,2012-01-11,2012
2012-01-12,3199.97998046875,4.0675530433654785,58.73426818847656,25.03499984741211,23.639999389648438,47.560001373291016,31.010000228881836,16.6299991607666,24.649999618530273,10.475000381469727,35.39500045776367,6.125,57.11000061035156,23.3700008392334,21.225000381469727,5.800000190734863,16.295000076293945,24.81999969482422,108.00139617919922,25.635000228881836,114.30000305175781,12.0287504196167,31.25680160522461,80.95999908447266,11.805000305175781,37.79999923706055,73.97000122070312,242.3000030517578,29.979999542236328,24.135000228881836,55.880001068115234,31.645000457763672,5.008999824523926,44.95000076293945,18.114999771118164,39.04999923706055,8.430000305175781,15.474198341369629,2012-01-12,2012
2012-01-13,3196.489990234375,4.052145957946777,59.09027099609375,25.149999618530273,24.18000030517578,47.04499053955078,31.790000915527344,16.764999389648438,25.149999618530273,10.5,35.04499816894531,6.124000072479248,56.75,23.860000610351562,20.899999618530273,5.730000019073486,16.34000015258789,24.684999465942383,107.81550598144531,25.6200008392334,113.80000305175781,11.994999885559082,31.419809341430664,80.01000213623047,11.670000076293945,37.775001525878906,73.26000213623047,251.9499969482422,29.989999771118164,24.104999542236328,55.619998931884766,32.005001068115234,4.9679999351501465,45.57500076293945,17.864999771118164,39.01499938964844,8.369999885559082,15.35806941986084,2012-01-13,2012
