Date,^FCHI,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,Date,Year
2008-01-02,5550.35986328125,20.268312454223633,52.569950103759766,21.350000381469727,72.5250015258789,57.78666687011719,73.48999786376953,52.52000045776367,41.88999938964844,26.361557006835938,48.5,3.9839999675750732,43.029998779296875,54.90999984741211,39.65999984741211,7.860000133514404,87.34197998046875,40.33000183105469,101.44881439208984,23.290000915527344,82.0999984741211,18.578371047973633,106.87218475341797,97.30999755859375,24.459999084472656,25.829999923706055,74.87786102294922,86.0,95.73999786376953,13.850000381469727,62.279998779296875,62.83000183105469,9.640000343322754,45.55500030517578,26.100000381469727,56.31999969482422,61.86000061035156,30.125816345214844,2008-01-02,2008
2008-01-03,5546.080078125,20.232769012451172,53.03721618652344,21.270000457763672,71.44499969482422,57.59794616699219,73.41999816894531,51.939998626708984,41.33000183105469,26.342016220092773,46.5,3.9719998836517334,42.869998931884766,53.5,41.4900016784668,7.61899995803833,87.32411193847656,40.36000061035156,97.4336166381836,23.190000534057617,81.54000091552734,18.334396362304688,105.44586181640625,95.86000061035156,24.219999313354492,24.93000030517578,74.5477523803711,85.0,93.54000091552734,13.619999885559082,61.540000915527344,62.09000015258789,9.470000267028809,44.974998474121094,25.860000610351562,57.650001525878906,63.27000045776367,30.067750930786133,2008-01-03,2008
2008-01-04,5446.7900390625,19.841798782348633,53.08342742919922,20.75,67.1500015258789,56.597721099853516,72.4000015258789,50.93000030517578,39.2599983215332,25.814393997192383,45.43000030517578,3.9730000495910645,42.5,52.459999084472656,41.36000061035156,7.232999801635742,86.39494323730469,40.5,93.04664611816406,21.920000076293945,79.11000061035156,17.153167724609375,101.75780487060547,95.13999938964844,24.299999237060547,24.209999084472656,73.57157897949219,80.16000366210938,86.44999694824219,13.170000076293945,61.099998474121094,59.810001373291016,9.0600004196167,42.91999816894531,24.989999771118164,57.20000076293945,61.790000915527344,29.477428436279297,2008-01-04,2008
2008-01-07,5452.830078125,19.646312713623047,53.35043716430664,19.200000762939453,63.724998474121094,58.31509017944336,72.37000274658203,50.06999969482422,38.13999938964844,25.462646484375,42.720001220703125,3.7730000019073486,42.119998931884766,52.38999938964844,41.970001220703125,7.448999881744385,86.54682922363281,39.27000045776367,90.9832763671875,21.420000076293945,79.08999633789062,16.863296508789062,98.6198959350586,95.19000244140625,25.190000534057617,23.950000762939453,73.43009948730469,77.26000213623047,84.25,12.899999618530273,62.88999938964844,58.83000183105469,8.949999809265137,41.25,23.610000610351562,58.400001525878906,62.83000183105469,29.806461334228516,2008-01-07,2008
2008-01-08,5495.669921875,19.744054794311523,52.99613571166992,19.360000610351562,65.04499816894531,60.11738586425781,71.81999969482422,50.369998931884766,38.689998626708984,25.24768829345703,44.81999969482422,3.6500000953674316,42.68000030517578,54.0,42.529998779296875,7.488999843597412,85.09053039550781,39.45000076293945,90.47208404541016,22.100000381469727,79.13999938964844,16.805322647094727,99.1292953491211,96.70999908447266,25.770000457763672,23.81999969482422,74.25537109375,77.30000305175781,85.04000091552734,12.579999923706055,65.44999694824219,58.27000045776367,8.960000038146973,41.599998474121094,23.780000686645508,58.900001525878906,63.0,30.203235626220703,2008-01-08,2008
2008-01-09,5435.419921875,19.6285400390625,53.76122283935547,18.850000381469727,62.61000061035156,58.31509017944336,71.22000122070312,49.58000183105469,36.34000015258789,24.97410774230957,44.599998474121094,3.568000078201294,43.77000045776367,52.900001525878906,42.43000030517578,7.429999828338623,84.86717224121094,38.91999816894531,85.69474029541016,20.860000610351562,76.16000366210938,15.810094833374023,95.15597534179688,94.3499984741211,25.8700008392334,23.139999389648438,73.2791976928711,73.5999984741211,82.77999877929688,11.720000267028809,66.55000305175781,56.97999954223633,8.649999618530273,40.584999084472656,23.0,58.7400016784668,63.029998779296875,29.516138076782227,2008-01-09,2008
2008-01-10,5400.43017578125,19.504140853881836,52.261863708496094,19.350000381469727,61.01499938964844,56.79587936401367,70.98999786376953,49.9900016784668,35.4900016784668,25.062044143676758,46.27000045776367,3.509000062942505,42.41999816894531,51.70000076293945,42.38999938964844,7.6579999923706055,85.0994644165039,39.25,84.2912826538086,20.530000686645508,75.16999816894531,15.737627029418945,92.3237075805664,91.5,25.760000228881836,22.920000076293945,71.63336944580078,70.70999908447266,84.55000305175781,11.539999961853027,65.98999786376953,56.83000183105469,8.489999771118164,40.470001220703125,22.950000762939453,57.75,63.279998779296875,29.951622009277344,2008-01-10,2008
2008-01-11,5371.41015625,19.957311630249023,51.748382568359375,19.020000457763672,64.08499908447266,54.97471237182617,72.68000030517578,50.4900016784668,33.88999938964844,25.511499404907227,46.38999938964844,3.500999927520752,40.79999923706055,52.130001068115234,40.75,7.800000190734863,86.7612533569336,39.20000076293945,85.50885009765625,20.780000686645508,73.16999816894531,15.906719207763672,93.01649475097656,86.94999694824219,25.3700008392334,22.520000457763672,68.6954116821289,67.5999984741211,85.70999908447266,11.8100004196167,65.47000122070312,57.439998626708984,8.270000457763672,40.73500061035156,22.309999465942383,57.029998779296875,61.20000076293945,29.787105560302734,2008-01-11,2008
2008-01-14,5403.509765625,19.90399742126465,52.48779296875,19.360000610351562,67.08999633789062,55.67298126220703,73.72000122070312,50.08000183105469,34.97999954223633,25.94141387939453,47.279998779296875,3.6089999675750732,40.36000061035156,53.2599983215332,40.09000015258789,7.519000053405762,87.645751953125,39.59000015258789,87.34915161132812,20.709999084472656,73.56999969482422,16.177265167236328,94.36131286621094,88.08999633789062,25.020000457763672,22.549999237060547,69.09626007080078,66.44999694824219,86.47000122070312,11.890000343322754,65.19999694824219,57.88999938964844,8.630000114440918,40.845001220703125,22.600000381469727,57.33000183105469,60.400001525878906,29.777427673339844,2008-01-14,2008
2008-01-15,5250.81982421875,19.3708553314209,51.21950149536133,18.579999923706055,64.41000366210938,54.106590270996094,72.25,48.68000030517578,33.65999984741211,25.364938735961914,45.7400016784668,3.494999885559082,38.41999816894531,51.20000076293945,39.70000076293945,7.15500020980835,85.09053039550781,38.61000061035156,82.40451049804688,20.299999237060547,70.80000305175781,15.179622650146484,90.57137298583984,85.19999694824219,24.489999771118164,21.899999618530273,66.93640899658203,66.25,82.20999908447266,11.609999656677246,63.29999923706055,56.15999984741211,8.25,39.28499984741211,21.299999237060547,55.7400016784668,59.5,29.061298370361328,2008-01-15,2008
2008-01-16,5225.39013671875,19.2464542388916,51.204097747802734,18.56999969482422,64.26499938964844,55.16343307495117,73.16999816894531,49.13999938964844,33.56999969482422,25.316083908081055,46.97999954223633,3.447999954223633,38.15999984741211,49.599998474121094,39.529998779296875,6.800000190734863,84.81356811523438,38.689998626708984,82.59040069580078,20.299999237060547,70.98999786376953,14.870427131652832,88.12625122070312,84.69999694824219,24.760000228881836,21.8700008392334,66.87039184570312,66.47000122070312,80.26000213623047,11.34000015258789,63.619998931884766,55.95000076293945,8.1899995803833,38.400001525878906,21.1299991607666,54.4900016784668,58.61000061035156,28.54839515686035,2008-01-16,2008
2008-01-17,5157.08984375,19.015426635742188,49.55069351196289,17.969999313354492,66.2750015258789,55.153995513916016,72.37999725341797,49.43000030517578,34.47999954223633,24.87639808654785,45.5,3.4200000762939453,38.0099983215332,49.81999969482422,39.29999923706055,6.835999965667725,83.08924102783203,38.56999969482422,81.00104522705078,20.329999923706055,69.93000030517578,14.529827117919922,86.84255981445312,84.12000274658203,24.959999084472656,21.90999984741211,62.76762390136719,65.12999725341797,77.97000122070312,11.170000076293945,61.9900016784668,54.5,8.430000305175781,38.380001068115234,20.989999771118164,53.459999084472656,58.650001525878906,28.316137313842773,2008-01-17,2008
2008-01-18,5092.39990234375,18.020225524902344,48.95505905151367,17.110000610351562,66.7249984741211,55.29553985595703,69.38999938964844,48.709999084472656,34.91999816894531,24.03611183166504,44.83000183105469,3.4149999618530273,38.54999923706055,50.290000915527344,39.43000030517578,7.0,76.24554443359375,36.97999954223633,81.06610870361328,20.399999618530273,70.11000061035156,14.450113296508789,87.12782287597656,84.77999877929688,24.670000076293945,21.770000457763672,62.64501190185547,64.81999969482422,77.16000366210938,10.800000190734863,61.16999816894531,53.720001220703125,8.390000343322754,38.95500183105469,20.639999389648438,53.25,57.939998626708984,27.803234100341797,2008-01-18,2008
2008-01-21,4744.4501953125,16.394140243530273,45.15531539916992,15.899999618530273,62.255001068115234,51.52109909057617,62.709999084472656,46.029998779296875,32.349998474121094,21.612958908081055,41.790000915527344,3.25600004196167,36.369998931884766,48.439998626708984,36.88999938964844,6.6529998779296875,70.15233612060547,36.040000915527344,77.75728607177734,19.1200008392334,65.41000366210938,14.442866325378418,78.468017578125,78.22000122070312,23.540000915527344,20.459999084472656,60.03244400024414,62.189998626708984,76.05000305175781,10.199999809265137,57.54999923706055,50.630001068115234,8.050000190734863,35.900001525878906,19.100000381469727,50.0,52.88999938964844,25.877426147460938,2008-01-21,2008
2008-01-22,4842.5400390625,17.771425247192383,46.77277374267578,16.450000762939453,66.01000213623047,52.587379455566406,66.6500015258789,46.709999084472656,33.65999984741211,22.61935043334961,44.59000015258789,3.3550000190734863,37.54999923706055,50.0,34.79999923706055,6.5,73.70819854736328,36.279998779296875,81.73530578613281,19.969999313354492,67.48999786376953,14.894582748413086,84.07142639160156,80.11000061035156,23.809999465942383,21.5,60.051307678222656,63.11000061035156,76.87000274658203,10.5600004196167,58.33000183105469,52.209999084472656,8.119999885559082,38.45000076293945,19.760000228881836,49.66999816894531,51.790000915527344,25.925813674926758,2008-01-22,2008
2008-01-23,4636.759765625,16.811769485473633,44.11295700073242,16.049999237060547,61.70000076293945,49.81316375732422,63.56999969482422,45.310001373291016,33.5,21.505481719970703,42.790000915527344,3.3239998817443848,36.81999969482422,48.810001373291016,33.68000030517578,6.40500020980835,70.65265655517578,36.029998779296875,79.15145111083984,18.75,64.5199966430664,14.167487144470215,79.97584533691406,76.01000213623047,22.549999237060547,21.979999542236328,60.296531677246094,63.0,72.80000305175781,10.279999732971191,55.060001373291016,50.56999969482422,7.96999979019165,36.375,19.100000381469727,46.779998779296875,51.20000076293945,25.248395919799805,2008-01-23,2008
2008-01-24,4915.2900390625,18.15351104736328,48.13862991333008,16.639999389648438,67.75,50.08681106567383,67.91999816894531,48.970001220703125,35.369998931884766,23.74298858642578,45.63999938964844,3.446000099182129,37.880001068115234,51.16999816894531,36.099998474121094,6.875,67.73113250732422,37.33000183105469,88.7154312133789,19.719999313354492,70.30999755859375,15.677236557006836,87.53534698486328,84.01000213623047,23.190000534057617,22.65999984741211,66.73834991455078,68.0,77.91999816894531,10.479999542236328,56.349998474121094,55.65999984741211,8.4399995803833,38.744998931884766,20.020000457763672,49.95000076293945,54.470001220703125,26.138717651367188,2008-01-24,2008
